convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8320437196214576,0.07820405409711795,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8521174786121151,0.10115036533724184,0.05,191.75,36.89512162874653,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8204592543960019,0.10095893224309455,0.05,196.45,15.876082640248507,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.8739097004446672,0.10497403173374284,0.05,193.4,29.516097302997224,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.8529787846774693,0.19982810026952744,0.15,184.05,46.08056446108957,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.909413789728164,0.049525678526666554,0.05,191.95,36.00069443774662,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.8737982299937097,0.06928708327062111,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9157607557005552,0.04790388432975445,0.1,191.7,30.262187627466723,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.8914670011133488,0.0739931365353405,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.9166298113182292,0.06016578885034037,0.15,135.15,57.44038099125956,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.8468123570412062,0.23012923122042395,0.1,139.9,40.98510640913869,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8807501922630443,0.14271128321613913,0.15,138.95,54.96168521893468,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.8634990800944147,0.20575322150724085,0.15,118.25,32.18511424474625,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9180760584523531,0.08106749035906861,0.3,142.5,50.6427113267676,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.936318280415646,0.06854013792382505,0.4,110.3,45.73044592184212,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.865233277481885,0.1429060771436676,0.15,92.5,49.65194648222448,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8609181267966286,0.17282255696927482,0.15,80.65,34.02518417135662,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9152081873148649,0.09609049370722846,0.3,92.65,38.998346793570356,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8088866650257377,0.16446001629055806,0.05,80.7,39.218819327890074,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8313188576819571,0.2107783134392536,0.1,76.75,28.27287150534757,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.7691158448961488,0.17803193375226137,0.05,95.2,43.4542711848965,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.6317918416302439,0.42447825241452253,0.0,47.15,32.34562526346045,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.6860550350709362,0.40759244029599784,0.1,55.45,35.52089822240305,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.5952233351024593,0.4491845142673155,0.1,39.4,28.117048583601935,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.843587282344069,0.2918418884192803,0.3,63.85,34.26103356661371,method=Powell; iterations=1000000; temperature=0.5
