convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.7801036820876979,0.15588411438651903,0.0,118.15,60.820075459895385,nr_particles=6; k=3; scaling=1000.0
PSO,0.5415027266894726,0.20731313819997632,0.0,43.9,21.589227333142457,nr_particles=6; k=1; scaling=10.0
PSO,0.41269901240280255,0.26074084187601865,0.0,8.9,2.881885347805276,nr_particles=6; k=1; scaling=100.0
PSO,0.4336604641968176,0.279053672734083,0.0,6.3,0.6569466853317864,nr_particles=6; k=1; scaling=1000.0
PSO,0.5535465267207528,0.19651515217140794,0.0,37.5,21.6442529141231,nr_particles=6; k=1; scaling=10.0
PSO,0.4025384264921321,0.2623754313750126,0.0,9.8,5.267577092084427,nr_particles=6; k=1; scaling=100.0
PSO,0.4882834902670429,0.27005219990352913,0.0,6.45,1.5719582155957412,nr_particles=6; k=1; scaling=1000.0
PSO,0.5919597328386088,0.18790174053228256,0.0,36.3,8.411145488044577,nr_particles=6; k=1; scaling=10.0
PSO,0.33691290491186004,0.1957934616923437,0.0,8.9,3.3544942359389096,nr_particles=6; k=1; scaling=100.0
PSO,0.3485398728263115,0.18890520152960133,0.0,6.1,0.30779350562554625,nr_particles=6; k=1; scaling=1000.0
PSO,0.9018870650988291,0.039236998654635605,0.0,419.2,9.768908790001493,nr_particles=80; k=40; scaling=100.0
PSO,0.8851482328564051,0.027803538709441973,0.0,411,8.48528137423857,nr_particles=40; k=20; scaling=10.0
PSO,0.8941377227737082,0.037574585171590597,0.05,407.1,7.055419715964533,nr_particles=40; k=20; scaling=100.0
PSO,0.8997865240421971,0.02252317403712969,0.0,409.6,9.326814766264555,nr_particles=40; k=20; scaling=1000.0
PSO,0.8920206189301126,0.04213797858531356,0.05,409.4,7.450891857602297,nr_particles=40; k=13; scaling=10.0
PSO,0.8947909888429441,0.026800426956253478,0.0,408.95,6.637017402418047,nr_particles=40; k=13; scaling=100.0
PSO,0.8949376736264747,0.05597803902924901,0.1,408.4,7.059148599326155,nr_particles=40; k=13; scaling=1000.0
PSO,0.9034711844692899,0.03788542604805046,0.05,407.4,6.3195602778407896,nr_particles=40; k=8; scaling=10.0
PSO,0.9052636767432202,0.04332294823747153,0.1,407.65,6.975709735631886,nr_particles=40; k=8; scaling=100.0
PSO,0.9020530478692816,0.04401768714749256,0.05,407.3,5.439620729812927,nr_particles=40; k=8; scaling=1000.0
PSO,0.8900028936192275,0.05615576126965553,0.15,408.45,6.739319034786199,nr_particles=40; k=4; scaling=10.0
PSO,0.8792676186108521,0.06408822526866345,0.1,405.7,3.7988918051674516,nr_particles=40; k=4; scaling=100.0
PSO,0.8970722347165654,0.0356517738480113,0.0,406.1,4.83300059350732,nr_particles=40; k=4; scaling=1000.0
PSO,0.883351650555349,0.05163895930383017,0.05,398.3,23.16099261576171,nr_particles=28; k=14; scaling=10.0
PSO,0.8876928109822393,0.035704243773549325,0.05,398.9,24.56977175739584,nr_particles=28; k=14; scaling=100.0
PSO,0.8774648500726374,0.03602622538946851,0.0,401.15,11.127372603298209,nr_particles=28; k=14; scaling=1000.0
PSO,0.898131977577139,0.022951021628100015,0.0,401.35,12.419318567627231,nr_particles=28; k=9; scaling=10.0
PSO,0.8986233570117403,0.025782023754275053,0.0,404.4,5.834561274265435,nr_particles=28; k=9; scaling=100.0
PSO,0.8806690845242299,0.0361879661811564,0.0,404.5,4.285839597165482,nr_particles=28; k=9; scaling=1000.0
PSO,0.8834989681186565,0.0604893650773866,0.1,404.2,3.7360265974484315,nr_particles=28; k=5; scaling=10.0
PSO,0.8964640129628977,0.0545501151989433,0.05,397.35,23.75372546958078,nr_particles=28; k=5; scaling=100.0
PSO,0.8925881519436738,0.05231940502564673,0.05,399.75,28.046718543398825,nr_particles=28; k=5; scaling=1000.0
PSO,0.8847569704769102,0.032084886711162906,0.0,394.45,22.034601975314335,nr_particles=28; k=2; scaling=10.0
PSO,0.8393031245589945,0.08403599938194323,0.0,280.5,126.19471170836714,nr_particles=28; k=2; scaling=100.0
PSO,0.8225648502365515,0.07050263504182573,0.0,250.5,107.54754150704946,nr_particles=28; k=2; scaling=1000.0
PSO,0.8458080182389384,0.05237418200061373,0.0,303.2,97.9890434261859,nr_particles=12; k=6; scaling=10.0
PSO,0.886713905397229,0.043034137843855735,0.0,302.25,103.1350035020527,nr_particles=12; k=6; scaling=100.0
PSO,0.8718753721715932,0.03307729653317692,0.0,330.45,85.20654472021438,nr_particles=12; k=6; scaling=1000.0
