pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.9379387189104755,0.04728656665794271,0.0,124.65,61.000668676231484,nr_particles=12; k=2; scaling=100.0
PSO,0.9390538093644876,0.05349279537802468,0.0,119.45,58.598073436985246,nr_particles=12; k=2; scaling=1000.0
PSO,0.9239876789095498,0.047141587591051956,0.0,121.2,32.05193154537607,nr_particles=12; k=1; scaling=10.0
PSO,0.8627252790430618,0.06115885015307883,0.0,24.85,9.696852446460195,nr_particles=12; k=1; scaling=100.0
PSO,0.8248187735409351,0.09000288727427465,0.0,14.05,4.322219215561425,nr_particles=12; k=1; scaling=1000.0
PSO,0.9990540218342849,0.004206894892671052,0.75,835.05,12.922746164072583,nr_particles=264; k=132; scaling=100.0
PSO,0.9926387439090741,0.009249477513799564,0.45,839.7,31.656212494132717,nr_particles=264; k=132; scaling=1000.0
PSO,0.9931061705118349,0.009436205805387635,0.3,834.7,34.91056241914548,nr_particles=264; k=26; scaling=1000.0
PSO,0.990392308176455,0.012544615090270635,0.35,839.9,20.54494431343403,nr_particles=160; k=80; scaling=10.0
PSO,0.9981155828589466,0.005791524184989322,0.8,835.5,22.25096094908925,nr_particles=160; k=80; scaling=100.0
PSO,0.9951855606923254,0.008035089253383382,0.5,837.1,23.501175782455963,nr_particles=160; k=52; scaling=100.0
PSO,0.997226630257689,0.006751716774969296,0.5,830.75,18.6994933790084,nr_particles=160; k=52; scaling=1000.0
PSO,0.9949500762760505,0.007901530960661726,0.45,835.8,24.8820374863813,nr_particles=160; k=32; scaling=100.0
