GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8992109165666221,0.059841478095207595,0.0,269.65,82.543943639609,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.891804344416622,0.1070979267556157,0.05,273,91.89639475203069,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9158107509473972,0.07023201975117281,0.1,232.75,72.2640443461557,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.847223140874624,0.1588949774980727,0.05,103.95,23.08673576799138,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8835076108147872,0.05441284574435349,0.0,111.3,15.379754292746785,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8428369123233161,0.09547294024180564,0.05,114.95,20.780747669037574,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8588082995621399,0.06423459157536426,0.05,110.35,16.092741089990657,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8923720664689099,0.027515769987544954,0.0,106.95,16.8818650753124,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8571004236387794,0.096834571300729,0.0,99.75,13.775932483482695,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9151777631730855,0.026885071763148756,0.05,96.2,70.38286274670173,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9070429933145444,0.022520269254368452,0.0,106.85,61.68022373500278,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9119084505412797,0.03484127322324691,0.05,76.2,37.91486307644092,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9193329702814441,0.03605925142093907,0.1,85.55,51.394731452286344,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9261317053104968,0.029689989727904775,0.05,87.3,38.56791685489788,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.907650955409877,0.015371318112717388,0.0,67.15,21.847015934977435,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9038615856663639,0.05361731178333456,0.1,243.1,97.89462648550656,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9200721513022274,0.06232533409694367,0.1,301.5,119.28537211242626,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9202352217156081,0.05686419895768056,0.05,310.7,81.45266626762603,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8929369998318276,0.15542710697885523,0.1,270.35,92.08764417947891,method=BFGS; iterations=1000000; temperature=0.5
