convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9397102504446337,0.07048168331830057,0.15,151.15,42.894331609322535,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8003768852080272,0.1622489077716581,0.05,79.75,38.94919092464195,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8900329333244623,0.0817350570735572,0.0,105.6,45.28901342314828,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8396881580394258,0.21728730777002656,0.0,80.15,32.12029199578885,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8716285187436377,0.07835547698492669,0.0,98.2,42.86158874182902,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8115042708697575,0.2170249064699141,0.0,85.65,40.85697131779543,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.5670709352538432,0.4326062417296987,0.0,69.15,62.75707131471321,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.6366935033863165,0.3849140050638605,0.0,58.45,36.71866727314309,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.641803332529705,0.38653531702047705,0.0,57.45,37.91191313947025,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.4934474398272359,0.46390136400018406,0.0,46.3,41.10333575911225,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.6316834212474621,0.380651409294445,0.0,60.65,35.94041120931614,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.4544541381382055,0.423278393996033,0.0,45,40.27275427434912,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8710880801625285,0.24473507451273988,0.1,223.65,125.9073489766018,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8896124484185539,0.13828779715782136,0.3,196.7,69.16806382017339,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8998165933161087,0.09316339808889175,0.15,133.9,55.42932911659485,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8788875610319937,0.07963244657229324,0.0,164.5,59.14522715094466,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.881267838100154,0.10033787304953147,0.05,166.85,82.41185083405624,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8830458444360474,0.10661204547239476,0.05,157.1,67.66317508924551,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9430069001345219,0.04793487799039804,0.2,332.95,100.10072558756951,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9009926181672057,0.1203265460663354,0.25,217.3,106.75653560666363,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8930394125351231,0.07735541292525919,0.05,182.7,67.0797639891652,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9151160470385052,0.08972911967720762,0.25,164.95,76.19536869473312,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9151924840064745,0.0862814358473919,0.25,183.15,74.37053392163776,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8694531920991401,0.0708006571367203,0.05,177,59.46073450074781,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9002820531629274,0.07033556604641812,0.05,390.55,42.26168477474602,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8901523472322411,0.06083845532003998,0.05,391.5,38.01315561749642,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8991746356153673,0.06599060683257099,0.05,383.5,73.79024325749306,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.905738156417426,0.05994168853674196,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9007301468865474,0.06306767078170958,0.05,384.7,68.42368011149357,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8985970573062548,0.06449537425511728,0.05,399.4,2.6832815729997477,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9314736315501365,0.05824209596890212,0.3,371.45,68.14417764833927,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9169389868962088,0.063537576012817,0.15,378,68.97138994959394,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.922898976439477,0.05512842195903889,0.1,394.9,16.341422987706974,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9384812974625845,0.05609538914599879,0.3,338.4,118.99995577177418,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9242849381774488,0.057431330245447505,0.05,398.8,5.366563145999495,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9302481576264938,0.05467256494331631,0.15,372.95,69.19649747753057,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8871121718065215,0.10170360393512352,0.15,211.6,123.8986852655278,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9074880404808551,0.08298710447343655,0.1,176.95,72.56392825785086,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8781974724828918,0.09529548013726542,0.2,150,51.25375467632642,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.8825652937888343,0.09447485583533734,0.1,148.75,49.815316815952144,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.8699853275341421,0.08685255147953005,0.05,153.2,61.752988421187915,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8498497473281714,0.06329694897212493,0.0,173.4,79.92061851085673,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8774570861845632,0.07798098428587077,0.05,140.05,72.78192010888996,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.7778892705627078,0.22664968278292674,0.05,105.85,59.79638697059248,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8623185914226248,0.10536062502267578,0.0,107.6,58.95439807708649,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.847648095215663,0.0719355690739457,0.0,91.55,37.545025600849186,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.812500522625574,0.19100149295813085,0.05,87.35,37.9088588452273,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8450959637381186,0.12142501690028243,0.0,101.4,33.42296720583176,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.7416351660300036,0.26167660494098605,0.0,73.5,50.726822552923515,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.6899957683683178,0.3617844279336845,0.0,70.6,45.30295679905277,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.6558748043765884,0.39437473387423566,0.0,61.2,35.92331012763601,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.6710251130275202,0.35173977914943994,0.0,57.25,30.367702718859928,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.6932299095968341,0.30234275063770955,0.0,59.4,31.736414416250618,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7262138452133717,0.32792206002274205,0.0,60.55,31.439959488389597,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8645404620639221,0.15451969790815923,0.25,145.7,71.20622385570992,method=BFGS; iterations=1000000; temperature=0.005
